file,colname,oldvalue,newvalue,notes
CWD40_2017_fallen.txt,transect_section_letter,0,O,
CWD40_2017_lessstanding.txt,transect_section_letter,0,O,
CWD40_2017_standing.txt,transect_section_letter,0,O,
CWD40_2018_fallen.txt,transect_section_letter,0,O,
CWD40_2018_lessstanding.txt,transect_section_letter,0,O,
CWD40_2018_standing.txt,transect_section_letter,0,O,
CWD40_2019_fallen.txt,transect_section_letter,0,O,
CWD40_2019_lessstanding.txt,transect_section_letter,0,O,
CWD40_2019_standing.txt,transect_section_letter,0,O,
CWD40_2020_fallen.txt,transect_section_letter,0,O,
CWD40_2020_lessstanding.txt,transect_section_letter,0,O,
CWD40_2020_standing.txt,transect_section_letter,0,O,
CWD40_2021_fallen.txt,transect_section_letter,0,O,
CWD40_2021_lessstanding.txt,transect_section_letter,0,O,
CWD40_2021_standing.txt,transect_section_letter,0,O,
CWD40_2022_fallen.txt,transect_section_letter,0,O,
CWD40_2022_lessstanding.txt,transect_section_letter,0,O,
CWD40_2022_standing.txt,transect_section_letter,0,O,
CWD40_2023_fallen.txt,transect_section_letter,0,O,
CWD40_2023_lessstanding.txt,transect_section_letter,0,O,
CWD40_2023_standing.txt,transect_section_letter,0,O,
CWD40_2024_fallen.txt,transect_section_letter,0,O,
CWD40_2024_lessstanding.txt,transect_section_letter,0,O,
CWD40_2024_standing.txt,transect_section_letter,0,O,
CWD40_2019_fallen.txt,soil_contact,Suelo,*,
CWD40_2020_fallen.txt,soil_contact,Suelo,*,
CWD40_2021_fallen.txt,soil_contact,Suelo,*,
CWD40_2022_fallen.txt,soil_contact,Suelo,*,
CWD40_2023_fallen.txt,soil_contact,Suelo,*,
CWD40_2024_fallen.txt,soil_contact,Suelo,*,
CWD40_2019_fallen.txt,soil_contact,suelo,*,
CWD40_2020_fallen.txt,soil_contact,suelo,*,
CWD40_2021_fallen.txt,soil_contact,suelo,*,
CWD40_2022_fallen.txt,soil_contact,suelo,*,
CWD40_2023_fallen.txt,soil_contact,suelo,*,
CWD40_2024_fallen.txt,soil_contact,suelo,*,
CWD40_2019_standing.txt,bark_present,Con corteza,*,
CWD40_2020_standing.txt,bark_present,Con corteza,*,
CWD40_2021_standing.txt,bark_present,Con corteza,*,
CWD40_2022_standing.txt,bark_present,Con corteza,*,
CWD40_2023_standing.txt,bark_present,Con corteza,*,
CWD40_2024_standing.txt,bark_present,Con corteza,*,
CWD40_2019_standing.txt,bark_present,con corteza,*,
CWD40_2020_standing.txt,bark_present,con corteza,*,
CWD40_2021_standing.txt,bark_present,con corteza,*,
CWD40_2022_standing.txt,bark_present,con corteza,*,
CWD40_2023_standing.txt,bark_present,con corteza,*,
CWD40_2024_standing.txt,bark_present,con corteza,*,
CWD40_2017_fallen.txt,RT,tronco tronco sin corteza,,
CWD40_2017_fallen.txt,RT,tronco de árbol de pie con corteza,,
CWD40_2017_fallen.txt,RT,nada,,
CWD40_2022_fallen.txt,observer,"E,C",E,
CWD40_2024_fallen.txt,observer,Ev,E,
CWD40_2021_standing.txt,observer,"R,V",E,
CWD40_2022_standing.txt,observer,"E,C",E,
